id,Book Title,Price,Rate
507,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,3
508,"Eat Fat, Get Thin",54.07,2
509,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,5
510,The Art and Science of Low Carbohydrate Living,52.98,5
511,Libertarianism for Beginners,51.33,2
512,Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,4
513,Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,1
514,Amid the Chaos,36.58,1
515,Dark Notes,19.19,5
516,The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,1
